Food Resource Type,Agency,Location,Operational Status,Operational Notes,Who They Serve,Address,Latitude,Longitude,Phone Number,Website,Days/Hours,Date Updated
Food Bank & Meal,Lifelong,Chicken Soup Brigade,Limited Operations,Delivery drivers will no longer enter client homes and are staying a safe distance from clients,Contact Agency for Any Eligibility Requirements,"1161 11th Ave, Seattle, WA 98122",47.6127314,-122.3184037,(206)-957-1686,http://www.lifelong.org/chicken-soup-brigade,Home Delivery only,08/20/2021 12:00:00 AM
Food Bank & Meal,Messiah Lutheran Church,Auburn,Open,"Wednesday Food Bank (9-10am), Sunday Community Grab and Go Meal (2-3pm)",General Public,"410 H St  NE Auburn, WA 98002",47.3116212,-122.2190892,(253)-833-5280,http://mlcauburn.org/events/month/,"Wed: 9:00 am -10:00 am
Sun: 2:00 pm -3:00 pm",02/18/2021 12:00:00 AM
Food Bank,Northwest Harvest,SODO Community Market,Open,"If you are in need of food but feel uncomfortable waiting in line, we are now offering curbside pickup services. Please drive up to the front of our building and call 206-380-0277. Let our staff member know which car is yours, and we will then deliver a bag of pre-packed groceries to your car.",General Public,"1915 4th Ave S, Seattle, WA 98134",47.5855714,-122.3295651,(206)-380-0277,http://www.northwestharvest.org/sodo-community-market?gclid=CjwKCAjwguzzBRBiEiwAgU0FT2oeYOjgOqT-nfdpq8cCoSR-ynhQyJnFA4Xuzmhtt749Xzpz19jAZRoCaTUQAvD_BwE,"Mon: 1:30 pm - 7:30 pm
Wed: 8:00 am - 2:00 pm
Fri: 8:00 am - 2:00 pm",08/20/2021 12:00:00 AM
Food Bank,Overcomer Covenant Church,Auburn,Open,"Drive-thru grocery pick up. In addition to providing free groceries on a weekly basis, families get diapers and baby formula, household furniture, etc. may also be available.",General Public,"33415 Military Rd S, Auburn, WA 98001",47.3011166,-122.2763197,(253)-886-5700,http://overcomercc.org,Fri: 3:00 pm - 5:00 pm,08/20/2021 12:00:00 AM
Meal,Phinney Neighborhood Association,St. John United Lutheran Church,Open,"No eligibility requirements,
To go prepared meals",General Public,"5515 Phinney Ave N, Seattle, WA 98103",47.6688384,-122.354731,(206)-783-2244,http://www.phinneycenter.org/hotmeal/,"Tues: 4:00 pm - 6:00 pm
Wed: 11:00 am - 1:00 pm",08/20/2021 12:00:00 AM
Meal,Phinney Neighborhood Association,Hot Meals Program Greenwood Senior Center,Open,"No eligibility requirements,
To go prepared meals",General Public,"525 N 85th St, Seattle, WA 98103",47.6904002,-122.3509931,(206)-297-0875,http://www.phinneycenter.org/hotmeal/,Greenwood -  Mon: 4:00 pm - 6:00 pm                                    Phinney Ridge - Tues: 4:00 pm - 6:00 pm; Wed: 11 am - 1 pm,08/20/2021 12:00:00 AM
Food Bank,Phinney Ridge Lutheran Church,Phinney Ridge Food Bank,Open,,General Public,"7500 Greenwood Ave N, Seattle, WA 98103",47.6835063,-122.3547797,(206)-783-2350,http://prlc.org/phinney-ridge-lutheran-church-food-bank,"Tues: 1:15 pm - 3:00 pm
Wed: 6:15 pm - 8:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Pike Market Senior Center,"Pike Market Food Bank, Meals and Home Delivery (located in Pike Place Market)",Limited Operations,"Food Banks: Pre-packaged grocery bags pick up out front for social distancing.

Meals: Please call ahead for availability

Dinner is handed out with lunch.","Food Banks: Contact Agency for Any Eligibility Requirements
Meals: Older Adults 55+ and Eligible Participants","85 Pike Street, Seattle, WA 98101",47.6084268,-122.3405616,(206)-728-2773,http://www.pmsc-fb.org/,"Food Bank: 
Tues: 9:30 am - 3:00 pm
Wed: 3:00 pm - 7:00 pm
Thurs: 9:30 am - 3:00 pm

Meals:
Sun, Mon, Tues, Wed, Thurs, Fri, Sat: 
8:15 am - 9:00 am & 12:00 pm - 1:00 pm",08/20/2021 12:00:00 AM
Food Bank,Plant Based Food Share,Federal Way,Open,Plant Based Food Box Program at Good Shepherd Episcopal Church. All families must pre register every week.  Home Delivery or pick up available. Please look on website for further instructions and changes to pickup times,Contact Agency for Any Eligibility Requirements,"345 S 312th St, Federal Way, WA 98003",47.322026,-122.3303291,(971)-245-2907‬,http://www.plantbasedfoodshare.org,Sun: 12:00 pm - 2:00 pm,08/20/2021 12:00:00 AM
Food Bank,Plant Based Food Share,Seattle,Open,Plant Based Food Box Program - A weeks of fresh food for families to prepare together . All families must pre register every week. Delivery or pick up available. Please look on website for further instructions and changes to pickup times.,Contact Agency for Any Eligibility Requirements,"7148 Martin Luther King Jr Way S, Seattle, WA 98118",47.5374953,-122.2809353,(971)-245-2907‬,http://www.plantbasedfoodshare.org,"Mon, Sun: 12:00 pm - 1:45 pm",08/20/2021 12:00:00 AM
Food Bank,Rainier Valley Food Bank,Rainier Valley,Open,Food delivery and to-go food bag for persons without access to a kitchen and in need of pre-prepared foods. Must sign up on the waitlist for food delivery: docs.google.com/forms/d/e/1FAIpQLSc2Z4-G8Frfb6W6jfcDxIgeqR4YX6zLnnnJj8jEhchU1sFGcA/viewform,General Public,"4205 Rainier Ave S
Seattle, WA 98118",47.56538233,-122.2888973,(206)-723-4105,http://www.rvfb.org/what-we-do/,"Wed: 10:00 am - 1:00 pm
Sat: 9:30 am - 2:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Seattle Indian Center,Emergency Meals and Food Bank,Open,"Food Bank: Bring local ID
Meals: Please call ahead for availability",General Public,"1265 S Main St, Seattle, WA 98144",47.599789,-122.3144483,(206)-329-8700,http://www.seattleindian.org/services/food-security-programs/,"Food Bank:
Tues: 1:00 pm - 3:00 pm
Thurs: 1:00 pm - 3:00 pm

Meals:
Mon, Tues, Wed, Thurs, Fri:
8:30 am - 9:30 am
12:00 pm - 1:15 pm",08/20/2021 12:00:00 AM
Food Bank,Society of St Vincent de Paul Council,Georgetown Food Bank,Limited Operations,Pre-packaged grocery bags of perishable and non-perishable items can be picked up out front. Clothing and hygiene items available upon request.,General Public,"5972 4th Ave S, Seattle, WA 98108",47.5486194,-122.3291318,(206)-686-5260,http://www.svdpseattle.org/get-help/food-bank/,"Tues: 11:00 am - 2:00 pm
Thurs: 11:00 am - 2:00 pm
Fri: 11:00 am - 2:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Sound Generations,South Park Senior Center,Limited Operations,"Please call ahead for availability and please visit the website for virtual activities www.spseniors.org

For Food Bank Home Delivery by Providence Regina House call (206)-763-9204.","Meals: Older Adults 60+ and Eligible Participants

Food Bank by Providence Regina House: Contact Agency for Any Eligibility Requirements at (206)-763-9204","8201 10th Ave S, Seattle, WA 98108",47.5296153,-122.320528,(206)-727-6248,http://www.soundgenerations.org/our-programs/food-security/community-dining/,"Call for meal information

Food Bank available by Providence Regina House:
Thurs: 12:30 pm - 2:00 pm
Sat: 9:00 am - 12:00 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Sound Generations,West Seattle Senior Center,Limited Operations,Meals and food bags are also being delivered to seniors in their homes--call (206)-932-4044 ext. 1,Older Adults 60+ and Eligible Participants,"4217 SW Oregon St, Seattle, WA 98116",47.5626975,-122.3864553,(206)-727-6248,http://sc-ws.org/services/food-and-dining/,"Food Bank:
Tues: 9:00 am

Meals (sack lunches): 
Mon, Tues, Wed, Thurs:
11:45 am - 12:30 pm",08/20/2021 12:00:00 AM
Food Bank & Meal,Sound Generations,Northshore Senior Center,Limited Operations,Please call ahead for availability,Older Adults 60+ and Eligible Participants,"10201 E Riverside Dr, Bothell, WA 98011",47.7560448,-122.2026247,(425)-487-2441,http://www.northshoreseniorcenter.org/programs-services/,"Pop Up Pantry:
Tues: 9:00 am - 12:00 pm
Thurs: 3:00 pm - 6:00 pm
Sat: 9:00 am - 12:00 pm

Hopelink Mobile Market:
1st Thurs: 5:00 pm - 8:00 pm

Meals:
Mon, Tues, Wed, Thurs, Fri
11:45 am - 12:15 pm",08/20/2021 12:00:00 AM
Meal,St. James Cathedral,Sunday Breakfast,Limited Operations,"To-go only; guests may not arrive before 7am, and may not stay on-site after receiving a meal",Contact Agency for Any Eligibility Requirements,"907 Columbia St , Seattle, WA 98104",47.6069023,-122.3255728,(206)-622-3559,http://www.stjames-cathedral.org/outreach/kitchen.aspx,"Sun: 7:00 am - 8:00 am                                    
Mon - Fri: 4:15 pm - 6:30 pm",08/20/2021 12:00:00 AM
Meal,Tukwila Parks & Recreation,,Open,"FREE delivery of up to seven frozen meals each Wednesday during the Covid-19 Stay Home, Stay Safe mandate. Halal meals available. For seniors 60 and older
-Residents have about 15 meal choices and can get 7 meals per person per week
-Staff will call residents on Monday's to get their orders
-If we think residents can qualify for the regular Meals on Wheels program, we try to get them signed up for that program.",Older Adults 60+ and Eligible Participants,"12424 42nd Avenue South, Tukwila, WA 98168",47.491773,122.279205,(206)-767-2321,http://www.tukwilablog.com/2020/04/10/tukwila-parks-rec-offering-free-deliveries-of-meals-to-seniors/,Delivery Wed: 10:30 am - 12:00 pm,08/20/2021 12:00:00 AM
Food Bank,Urban Fresh Food Collective of South Park,South Park,Open,The Urban Fresh Food Collective also hosts a weekly free market (El Mercadito),General Public,"1249 S Cloverdale St, Seattle, WA 98108",47.5263392,-122.3154219,,http://www.urbanfreshfoodcollective.org/el-mercadito,Thurs: 10:30 am - 12:00 pm,08/20/2021 12:00:00 AM
Meal,Urban Fresh Food Collective of South Park,South Park Community Center,Open,Phone number listed accepts texts in English and Spanish,General Public,"8319 8th Ave S, Seattle, WA 98108",47.5284221,-122.3240431,(206)-809-9691,http://www.urbanfreshfoodcollective.org/covid19,"Mon, Wed and Thurs: 3:00 pm - 4:30 pm",08/20/2021 12:00:00 AM
Meal,YMCA of Greater Seattle - University Family,,Limited Operations,"Y branches are closed but housing, shelter, and counseling services continuing w/ social distancing practices",Contact Agency for Any Eligibility Requirements,"5003 12th Ave NE, Seattle, WA 98105",47.6653128,-122.3155223,(206)-524-1400,http://www.seattleymca.org/locations/university-family-ymca/staff-and-board,Please contact the agency for more information.,08/20/2021 12:00:00 AM
Meal,YouthCare,Orion Center,Open,The drop in center has also converted into an overnight shelter during the stay-at-home order,Youth and Young Adults,"1828 Yale Ave, Seattle, WA 98101",47.6182683,-122.3305192,(206)-622-5555,http://www.youthcare.org/homeless-youth-services/engagement-services/youthcares-orion-center/,"Mon, Tue, Wed, Thurs, Fri: 8:30 am - 9:00 am
Mon, Tue, Wed, Thurs, Fri: 12:30 pm - 1:00 pm
Mon, Wed, Thurs, Fri: 6:00 pm - 6:30 pm
Sat: 11:00 am - 1:00 pm (Brunch)",08/20/2021 12:00:00 AM
Meal,YouthCare,U-District Youth Center,Limited Operations,"Only offers day services and is too small to support an overnight shelter UDYC has partnered with ROOTS Young Adult Shelter, University Congregational Church, and Teen Feed in the University District so that young people can have consistent meals and additional activity space during the day and shelter at night",Youth and Young Adults,"4516 15th Ave NE, Seattle, WA 98105",47.661853,-122.311609,(206)-622-5555,http://www.youthcare.org/get-help/,"Mon: 10:00 am - 2:00 pm
Tue: 12:00 pm - 3:00 pm
Wed: 10:00 am - 2:00 pm
Thurs: 10:00 am - 2:00 pm
Sun: 10:00 am - 2:00 pm",08/20/2021 12:00:00 AM
Food Bank,YWCA,Central Area Food Bank,Limited Operations,Email nhilton@ywcaworksorg to sign up for home delivery that occurs Wednesdays,General Public,"2820 E Cherry Street, Seattle, WA 98122",47.608328,-122.2958409,(206)-375-1496,http://www.ywcaworks.org/programs/central-area-food-bank,"Wed:
12:00 pm - 3:00 pm",08/20/2021 12:00:00 AM
Meal,,Lake City Community Center/Lamb of God Church,Limited Operations,Site provides free take home meals for kids and teens 18 and younger. A weeks' supply of breakfasts available on Mondays. Free meals also available for parents. Call: (206)-538-6567 for more information.,Youth and Young Adults,"12531 28th Ave NE, Seattle, WA 98125",47.7203524,-122.2981048,(206)-538-6567,http://www.hungerintervention.org/,"Senior To-go Meal:
Mon, Wed, Fri: 12:30 pm - 1:30 pm",08/20/2021 12:00:00 AM
Food Bank,Algona/Pacific Food Pantry,,Open,Distributing prepacked boxes or bags,General Public,"603 3rd Ave SE, Pacific, WA 98047",47.265011,-122.236771,(253)-351-0450,http://networks.whyhunger.org/organization/view/28396,"Tues:
10:00 am - 1:00 pm",08/27/2021 12:00:00 AM
Food Bank,Auburn Food Bank,,Limited Operations,"Serves residents of residents of Auburn School District; proof of address and ID required.

Curbside/car drop off for existing clients; if new client, application will need to be filled out quickly inside.",General Public,"930 18th Place NE, Auburn, WA 98002",47.323724,-122.218286,(253)-833-8925,http://www.theauburnfoodbank.org/,"Mon, Tues, Thurs, Fri:
9:00 am - 1:00 pm
Second Wed of each month:
4:30 pm - 6:15 pm",08/27/2021 12:00:00 AM
Food Bank,Epic Church,The Giving Room,Open,Food bank services will remain open,General Public,"10510 Stone Ave N, Seattle, WA 98133",47.7052676,-122.3416573,(206)-552-9586,http://www.epiclifechurch.org/incarnational-ministry,Mon: 9:30 am - 12:45 pm,08/27/2021 12:00:00 AM
Food Bank,Fall City Community Food Pantry,Fall City United Methodist Church,Limited Operations,,General Public,"4326 337th Place Southeast, Fall City, WA 98024",47.5662398,-121.8906809,(425)-269-8098,http://www.fallcityfoodpantry.org/,"First and Third Wed of each month:
12:00 pm - 1:30 pm and 6:30 pm - 7:30 pm

School Weekend Backpack pick ups by Snoqualmie Valley Food Bank:
Fri: 10:00 am - 12:00 pm",08/27/2021 12:00:00 AM
Food Bank,Federal Way Food Bank,MultiService Center,Open,"Food bank available to Federal Way School District residents regardless of income.

Food will be distributed in pre-prepared boxes at a marked distribution point during regular food bank hours.

The Clothing Bank will be closed.",General Public,"1200 S 336th St, Federal Way, WA 98003",47.3013527,-122.320142,(253)-838-6810,http://mschelps.org/gethelp/food/,"Mon, Wed, Fri:
9:30 am - 2:00 pm 

Thurs for 55+ only:
11:00 am -1:00 pm

Fourth (4th) Thurs of the Month:
5:00 pm - 6:00 pm

Closed Federal Holidays",08/27/2021 12:00:00 AM
Food Bank,Help Northwest,,Limited Operations,Food and clothing bank,General Public,"404 22nd St SE, Auburn, WA 98002",47.2883898,-122.2238173,(206)-227-5977,http://www.helpnorthwest.com/1401.html,"Mon, Tues, Wed, Thurs, Fri:
1:00 pm - 5:00 pm",08/27/2021 12:00:00 AM
Food Bank,Highline Area Food Bank,Highline Area Food Bank,Open,We are asking our clients to wash hands when they enter the building and not to touch any thing while in the building. The food will be put in a bag or box in your cart all while asking you still which foods you would want. As you exit the building the cart will be given to you to go to your car. Please bring the cart back up to the door so that we may clean it before our next client.,General Public,"18300 4th Avenue South, Burien, WA 98148",47.4383823,-122.3275755,(206)-433-9900,http://www.highlineareafoodbank.org/,"Tues: 12:00 pm - 2:30 pm
Thurs: 10:00 am - 12:30 pm 
2nd Tues Evening of Each Month: 5:30 pm - 7:00 pm",08/27/2021 12:00:00 AM
Food Bank,Holy Innocents Food Pantry,Holy Innocents Church,Limited Operations,Need to set an appointment for services via website: www.holyinn.org/85,General Public,"26526 NE Cherry Valley Road, Duvall, WA 98019",47.7482852,-121.9818384,(425)-788-1400,http://www.holyinn.org/85,"Tues: 3:00 pm - 6:30 pm 
Wed: 10:00 am - 12:00 pm",08/27/2021 12:00:00 AM
Food Bank,Holy Temple Evangelistic Center,,Limited Operations,Emergency food,General Public,"12600 Renton Ave S, Seattle, WA 98178",47.4917411,-122.2393177,(206)-722-3984,http://www.facebook.com/HolyTECSeattle/,Sat: 1:00 pm -3:00 pm,08/27/2021 12:00:00 AM
Food Bank,Issaquah Food and Clothing Bank,Issaquah Food and Clothing Bank,Limited Operations,"Serving zips: 98027, 98029, 98059 and 98075; ID helpful; proof of address needed

Pre-packed food boxes and produce bags distributed every other week with two weeks worth of food. Drive or walk up service only outside the building (179 1st Ave SE).

Masks required for visits

Open: August 11, 13, 25, 27
September 8,10,22,24

Groceries to Go will still be delivered every week.",General Public,"179 1st Ave SE, Issaquah, WA 98027",47.528687,-122.0349549,(425)-392-4123,http://issaquahfoodbank.org/,Monday-Thursday: 1:00 pm - 7:00 pm (every other week),08/27/2021 12:00:00 AM
Food Bank,Woodinville Store House,Woodinville Store House,Limited Operations,Pre-packaged grocery bags for pick up,General Public,"17110 140th Ave NE, Woodinville, WA 98072",47.7520872,-122.1518646,(425)-483-5252,http://www.woodinvillestorehouse.org,"Tues: 6:30 pm - 7:20 pm
Sat: 9:30 am - 10:20 am",08/27/2021 12:00:00 AM
Meal,Church By The Side Of The Road,,Open,,General Public,"3455 S 148th St, Tukwila, WA 98168",47.469863,-122.2871757,(206)-243-5024,http://www.cbsr.org/,Tues: 12:00 pm,08/27/2021 12:00:00 AM
Food Bank,Kent Food Bank and Emergency Services,Kent Food Bank,Limited Operations,"Requires: photo ID/food bank card or photo ID and piece of mail from Kent service area.

Walk-up customers: prepackaged boxes distributed at east door.

Drive-up customers: pre-packaged boxes distributes at posted sign, please remain in your vehicle.

1 person per household will be allowed entrance into the building/office for check-in, no exceptions. All other household members, family or friends, must remain outside waiting, no matter age or reason you brought them. *During this time please leave children at home with childcare or bring a responsible person who can care for them outside while you are checking in.",General Public,"515 W Harrison St, Kent, WA 9803",47.3824076,-122.2386782,,http://www.kentfoodbank.org/foodbank.php,"Wed, Fri:
Walk Up: 10:00 am - 1:00 pm
Drive up: 10:30 am - 12:00 pm
Thurs: Age 55+ (only): 10:00 am - 11:00 am",08/27/2021 12:00:00 AM
Food Bank,Maple Valley Food Bank and Emergency Services,Maple Valley Food Bank,Limited Operations,"Service area only, proof of address: Maple Valley, Black Diamond, Hobart, Tahoma SD.",General Public,"21415 Renton-Maple Valley Rd SE, Maple Valley, WA 98038",47.4093955,-122.0395922,(425)-432-8633,http://maplevalleyfoodbank.org/,"Tues: 10:30 am - 6:00 pm
Wed: 10:30 am - 1:00 pm",08/27/2021 12:00:00 AM
Meal,Multicultural Self-Sufficiency Movement,Evergreen Senior Club - Federal Way Community Center,Limited Operations,Please call ahead for availability,Older Adults 60+ and Eligible Participants,"30819 14th Ave S, Federal Way, WA 98003",47.3256699,-122.3164786,(253)-835-6925,http://www.itallhappenshere.org/category/news/fwcc-operation-notices/,"Tues, Thurs:
11:00 am - 1:00 pm",08/27/2021 12:00:00 AM
Food Bank,Northwest Harvest/World Relief,Hillside Church,Open,Groceries to feed a family of 4,General Public,"930 E James St, Kent, WA 98031",47.3861959,-122.2218815,(253)-852-5144,http://hillsidechurch.squarespace.com/local-1,Sat: 9:00 am - 12:00 pm,08/27/2021 12:00:00 AM
Meal,Operation Nightwatch,,Limited Operations,To-go ready-to-eat food available nightly.,General Public,"302 14th Ave S, Seattle, WA 98144",47.5998571,-122.3137564,(206)-323-4359,http://www.seattlenightwatch.org/what-we-do/food-and-shelter/,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat:
9:00 pm",08/27/2021 12:00:00 AM
Food Bank,Paradise of Praise,Food Bank,Open,,General Public,"1316 SW Holden Street, Seattle, WA 98106",47.5344477,-122.3524692,(206)-432-7210,http://www.paradiseofpraise.org/,Tues: 10:00 am - 12:00 pm,08/27/2021 12:00:00 AM
Meal,Raging River CC Food Bank (Adra P. Berry Memorial Food Bank),Raging River Community Church,Open,Extended hours during COVID,General Public,"31104 SE 86th St, Preston, WA 98050",47.5236596,-121.926249,(425)-222-5573,http://ragingrivercommunitychurch.org/ministry/foodbank/,Thurs: 1:00 pm - 4:00 pm,08/27/2021 12:00:00 AM
Meal,Ravenna PopUp Kitchen,,Limited Operations,"Instead of our usual hot meal setup, we continue to provide to-go meals. We set up Sunday afternoon from 3-4 as usual (on 65th and 8th Ave NE, under the I5 overpass). 
Contact ravennapopupkitchen@gmail.com for more information.",General Public,"65th and 8th Ave NE, under the I5 overpass",47.675803,-122.320245,None,http://www.facebook.com/pages/category/Community/Ravenna-PopUp-Kitchen-498542463880219/,"Sun:
3:00 pm - 4:00 pm",08/27/2021 12:00:00 AM
Food Bank,Renewal Food Bank,Highland Covenant Church,Open,"Eligibility:
• You can visit one time per week.
• You will need to provide proof of address and your ID on your first visit.
• Each time you come please bring your ID.

New Process:
• Visitors stay outdoors, volunteers stay indoors.
• A volunteer shows you which items are available.
• You decide which items to accept.
Fresh fruits and vegetables are pre-bagged.
• A volunteer places your selection in paper bags.
• The new process gets you in and out in about two minutes",General Public,"15022 Bel-Red Road, Bellevue, WA 98007",47.6275862,-122.1394748,(425)-736-8132,https://www.facebook.com/RenewalFoodBank/,"Mon: 12:00 am - 3:00 pm
Tues: 4:00 pm - 6:30 pm
Wed: 10:00 am - 1:00 pm",08/27/2021 12:00:00 AM
Food Bank,Salvation Army,Salvation Army Seattle,Open,Only pre-bagged available,General Public,"1101 Pike Street, Seattle, WA 98101",47.6132654,-122.328461,(206)-442-8377,http://www.seattlefoodcommittee.org/food-bank-directory/seattle-food-banks/salvation-army-food-bank.html,"Tues: 9:00 am - 11:30 am AND 1:00 pm - 3:00 pm
Wed: 9:00 am - 11:30 am AND 1:00 pm - 3:00 pm
Thur: 1:00 pm - 3:00 pm",08/27/2021 12:00:00 AM
Food Bank,Snoqualmie Valley Food Bank,,Limited Operations,Food bank open but the Mobile Food Bank Van has been cancelled.,General Public,"122 E 3rd St, North Bend, WA 98045",47.4962806,-121.783458,(425)-888-7832,http://www.snoqualmievalleyfoodbank.org/,"Mon: 10:00 am - 11:30 am Seniors Only 
Mon: 11:30 am - 1:00pm All
Tue: 3:00 pm - 6:30 pm 
Wed: 9:30 am - 4:30 pm",08/27/2021 12:00:00 AM
Food Bank,St. Stephen the Martyr Catholic Church,Food Bank,Limited Operations,,Contact Agency for Any Eligibility Requirements,"13055 SE 192nd St, Renton, WA 98058",47.4292298,-122.1662234,(253)-631-1940,http://www.ststephenslife.com/food-bank,"Mon: 10:00 am - 11:45am
Wed: 4:00 pm -5:45 pm 
Fri: 10:00 am - 11:45am",08/27/2021 12:00:00 AM
Food Bank,"The Storehouse, Covington Food Bank",Located behind Real Life Church,Open,Distributing prepacked boxes or bags,General Public,"26201 180th Ave SE, Covington, WA 98042",47.3665236,-122.1027806,(253)-631-3038,http://www.covingtonstorehouse.org/post/covid-19-information,"Mon: 4:00 pm - 6:00 pm
Fri: 10:00 am -  12:00 pm
Sat: 9:00 am - 12:00 am",08/27/2021 12:00:00 AM
Food Bank,Tukwila Pantry,Riverton Park United Methodist Church,Open,For the duration of the COVID -19 Emergency all normal registration procedures are temporarily suspended until further notice.,General Public,"3118 S 140th St, Tukwila, WA 98168",47.4784931,-122.2924379,(206)-431-8293,http://tukwilapantry.org/,"Tues, Thurs, Sat: 10:00 am - 2:00 pm",08/27/2021 12:00:00 AM
Food Bank,Vashon Maury Community Food Bank,Vashon Community Food Bank,Open,"Delivery to in town locations  Tues from 12:00 pm - 4:00 pm

Delivery to all other island homes Thurs from 10:00 - 4:00 pm",General Public,"10030 SW 210th St, Vashon, WA 98070",47.4171449,-122.4633388,(206)-463-6332,http://www.vashonfoodbank.org/,"Grocery Pick Up:
Wed: 10:00 am - 2:00 pm & 4:00 pm - 7:00 pm

Home Delivery:
Thurs: 11:00 am - 5:00 pm
Fri: 11:00 am - 2:00 pm",08/27/2021 12:00:00 AM
Meal,Vashon Senior Center,,Limited Operations,"Isolated seniors may sign up by calling the Center or emailing: lunch@vashoncenter.org 

Meal on Wheels available to qualifying older adults; provides frozen meals to seniors who have difficulty shopping.",Seniors 55+ who have requested meals,"10004 SW Bank Road, Vashon, WA 98070",47.4475822,-122.4620178,(206)-463-5173,http://www.vashoncenter.org/lunch-delivery,"Mon, Wed, Fri",08/27/2021 12:00:00 AM
Meal,Victory Outreach Seattle,,Limited Operations,Distributing cold/shelf-stable no-cook meals only for guests during Covid-19,Contact Agency for Any Eligibility Requirements,"824 108th St SW, Seattle, WA  98146",47.5068483,-122.3456315,(206)-244-8184,http://www.voseattle.com/ministries/,Please contact the agency by phone for more information.,08/27/2021 12:00:00 AM
